,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/crib5.jpeg,0.96,crib,57.01530612,55.73979592,68.87755102,65.30612245,66.32653061,70.40816327,66.83673469,81.63265306,100,top5gen/data/crib5.jpeg->crib
top5gen/data/crib5.jpeg,0.03,cradle,58.16326531,54.33673469,67.34693878,65.81632653,64.79591837,67.85714286,62.75510204,81.63265306,100,top5gen/data/crib5.jpeg->cradle
top5gen/data/crib5.jpeg,0,quilt,55.99489796,56.50510204,66.32653061,64.79591837,60.20408163,63.7755102,55.6122449,89.79591837,100,top5gen/data/crib5.jpeg->quilt
top5gen/data/crib5.jpeg,0,bassinet,55.86734694,55.6122449,64.28571429,63.7755102,61.2244898,64.28571429,60.71428571,87.75510204,100,top5gen/data/crib5.jpeg->bassinet
top5gen/data/crib5.jpeg,0,pillow,55.73979592,54.33673469,60.20408163,55.10204082,57.14285714,56.12244898,53.06122449,69.3877551,89.79591837,top5gen/data/crib5.jpeg->pillow
top5gen/data/cucumber1.jpeg,0.92,cucumber,65.56122449,65.05102041,86.2244898,79.59183673,79.08163265,80.6122449,72.95918367,61.2244898,100,top5gen/data/cucumber1.jpeg->cucumber
top5gen/data/cucumber1.jpeg,0.07,zucchini,63.64795918,62.5,78.57142857,78.06122449,77.55102041,79.08163265,76.53061224,61.2244898,100,top5gen/data/cucumber1.jpeg->zucchini
top5gen/data/cucumber1.jpeg,0,spaghetti squash,65.94387755,65.05102041,76.53061224,78.06122449,78.57142857,78.06122449,73.97959184,63.26530612,100,top5gen/data/cucumber1.jpeg->spaghetti squash
top5gen/data/cucumber1.jpeg,0,leafhopper,57.01530612,57.01530612,64.79591837,65.30612245,63.26530612,63.26530612,59.69387755,65.30612245,93.87755102,top5gen/data/cucumber1.jpeg->leafhopper
top5gen/data/cucumber1.jpeg,0,fig,66.07142857,63.52040816,77.55102041,80.10204082,81.12244898,79.08163265,73.46938776,73.46938776,100,top5gen/data/cucumber1.jpeg->fig
top5gen/data/cucumber2.jpeg,0.73,cucumber,60.58673469,56.63265306,60.71428571,65.81632653,64.28571429,59.18367347,68.87755102,73.46938776,100,top5gen/data/cucumber2.jpeg->cucumber
top5gen/data/cucumber2.jpeg,0.27,zucchini,59.69387755,56.12244898,62.24489796,62.75510204,59.18367347,60.20408163,68.36734694,75.51020408,100,top5gen/data/cucumber2.jpeg->zucchini
top5gen/data/cucumber2.jpeg,0,bell pepper,61.73469388,59.31122449,68.36734694,66.32653061,66.32653061,61.2244898,72.95918367,77.55102041,100,top5gen/data/cucumber2.jpeg->bell pepper
top5gen/data/cucumber2.jpeg,0,acorn squash,60.71428571,56.12244898,60.20408163,59.69387755,59.18367347,59.18367347,70.40816327,77.55102041,100,top5gen/data/cucumber2.jpeg->acorn squash
top5gen/data/cucumber2.jpeg,0,spaghetti squash,59.69387755,57.39795918,63.7755102,57.65306122,59.18367347,56.63265306,69.89795918,73.46938776,100,top5gen/data/cucumber2.jpeg->spaghetti squash
top5gen/data/cucumber3.jpeg,0.97,cucumber,62.75510204,60.58673469,74.48979592,73.97959184,71.42857143,68.87755102,71.93877551,67.34693878,95.91836735,top5gen/data/cucumber3.jpeg->cucumber
top5gen/data/cucumber3.jpeg,0.03,zucchini,60.07653061,58.80102041,70.91836735,69.3877551,68.36734694,66.32653061,68.87755102,63.26530612,100,top5gen/data/cucumber3.jpeg->zucchini
top5gen/data/cucumber3.jpeg,0,ear,61.47959184,59.31122449,72.95918367,67.34693878,66.32653061,69.89795918,64.79591837,67.34693878,95.91836735,top5gen/data/cucumber3.jpeg->ear
top5gen/data/cucumber3.jpeg,0,spaghetti squash,60.71428571,58.16326531,72.44897959,72.95918367,71.42857143,69.3877551,73.97959184,67.34693878,100,top5gen/data/cucumber3.jpeg->spaghetti squash
top5gen/data/cucumber3.jpeg,0,acorn squash,61.8622449,59.18367347,70.40816327,67.85714286,66.83673469,65.30612245,66.32653061,69.3877551,100,top5gen/data/cucumber3.jpeg->acorn squash
top5gen/data/cucumber4.jpeg,0.86,cucumber,57.65306122,54.33673469,71.93877551,69.89795918,73.46938776,70.40816327,66.83673469,65.30612245,100,top5gen/data/cucumber4.jpeg->cucumber
top5gen/data/cucumber4.jpeg,0.13,zucchini,56.12244898,54.08163265,64.79591837,65.30612245,67.34693878,65.81632653,65.81632653,69.3877551,89.79591837,top5gen/data/cucumber4.jpeg->zucchini
top5gen/data/cucumber4.jpeg,0,spaghetti squash,58.54591837,57.27040816,70.91836735,69.89795918,72.44897959,67.34693878,63.26530612,67.34693878,100,top5gen/data/cucumber4.jpeg->spaghetti squash
top5gen/data/cucumber4.jpeg,0,slug,55.10204082,51.2755102,66.83673469,70.40816327,72.44897959,72.95918367,62.75510204,91.83673469,100,top5gen/data/cucumber4.jpeg->slug
top5gen/data/cucumber4.jpeg,0,lacewing,49.87244898,49.3622449,51.02040816,56.12244898,60.20408163,58.67346939,56.63265306,67.34693878,93.87755102,top5gen/data/cucumber4.jpeg->lacewing
top5gen/data/cucumber5.jpeg,0.86,zucchini,54.20918367,52.42346939,59.69387755,62.75510204,64.28571429,66.83673469,64.28571429,40.81632653,83.67346939,top5gen/data/cucumber5.jpeg->zucchini
top5gen/data/cucumber5.jpeg,0.14,cucumber,54.59183673,51.91326531,58.67346939,66.32653061,71.42857143,71.93877551,63.26530612,42.85714286,95.91836735,top5gen/data/cucumber5.jpeg->cucumber
top5gen/data/cucumber5.jpeg,0,sea cucumber,54.71938776,54.46428571,60.20408163,59.18367347,65.30612245,67.85714286,57.14285714,46.93877551,85.71428571,top5gen/data/cucumber5.jpeg->sea cucumber
top5gen/data/cucumber5.jpeg,0,eel,57.14285714,56.37755102,61.73469388,62.75510204,68.87755102,68.87755102,66.83673469,57.14285714,79.59183673,top5gen/data/cucumber5.jpeg->eel
top5gen/data/cucumber5.jpeg,0,beer bottle,52.80612245,53.69897959,62.75510204,63.7755102,69.89795918,65.30612245,64.79591837,38.7755102,69.3877551,top5gen/data/cucumber5.jpeg->beer bottle
top5gen/data/dog_cat.jpeg,0.48,Labrador retriever,58.41836735,56.12244898,61.73469388,64.79591837,63.26530612,61.2244898,69.89795918,89.79591837,100,top5gen/data/dog_cat.jpeg->Labrador retriever
top5gen/data/dog_cat.jpeg,0.36,golden retriever,54.20918367,56.63265306,62.24489796,67.34693878,65.81632653,59.18367347,66.32653061,77.55102041,97.95918367,top5gen/data/dog_cat.jpeg->golden retriever
top5gen/data/dog_cat.jpeg,0.06,kuvasz,52.55102041,54.9744898,61.73469388,69.3877551,66.83673469,61.2244898,63.26530612,83.67346939,87.75510204,top5gen/data/dog_cat.jpeg->kuvasz
top5gen/data/dog_cat.jpeg,0.01,Great Pyrenees,52.42346939,52.93367347,60.71428571,58.67346939,54.08163265,56.63265306,61.73469388,77.55102041,85.71428571,top5gen/data/dog_cat.jpeg->Great Pyrenees
top5gen/data/dog_cat.jpeg,0.01,Cardigan,57.65306122,57.65306122,71.42857143,67.34693878,67.85714286,64.79591837,66.83673469,91.83673469,100,top5gen/data/dog_cat.jpeg->Cardigan
top5gen/data/flowers.jpeg,0.55,lemon,63.1377551,60.45918367,75.51020408,78.06122449,75.51020408,73.46938776,66.32653061,91.83673469,100,top5gen/data/flowers.jpeg->lemon
top5gen/data/flowers.jpeg,0.17,vase,63.01020408,61.73469388,67.34693878,70.91836735,75.51020408,70.91836735,67.85714286,79.59183673,100,top5gen/data/flowers.jpeg->vase
top5gen/data/flowers.jpeg,0.07,pitcher,62.37244898,61.73469388,69.3877551,71.93877551,73.46938776,71.42857143,70.40816327,77.55102041,100,top5gen/data/flowers.jpeg->pitcher
