,,,'mixed3a','mixed3b','mixed4a','mixed4b','mixed4c','mixed4d','mixed4e','mixed5a','mixed5b',
top5gen/data/dog_cat.jpeg,0.01,Great Pyrenees,0,0.01532567,0.249042146,0.187739464,0.049808429,0.126436782,0.279693487,0.754789272,1,top5gen/data/dog_cat.jpeg->Great Pyrenees
top5gen/data/dog_cat.jpeg,0.01,Cardigan,0,0,0.325301205,0.228915663,0.240963855,0.168674699,0.21686747,0.807228916,1,top5gen/data/dog_cat.jpeg->Cardigan
top5gen/data/flowers.jpeg,0.55,lemon,0.067741935,0,0.380645161,0.44516129,0.380645161,0.329032258,0.148387097,0.793548387,1,top5gen/data/flowers.jpeg->lemon
top5gen/data/flowers.jpeg,0.17,vase,0.033333333,0,0.146666667,0.24,0.36,0.24,0.16,0.466666667,1,top5gen/data/flowers.jpeg->vase
top5gen/data/flowers.jpeg,0.07,pitcher,0.016666667,0,0.2,0.266666667,0.306666667,0.253333333,0.226666667,0.413333333,1,top5gen/data/flowers.jpeg->pitcher
top5gen/data/flowers.jpeg,0.03,orange,0.03236246,0,0.275080906,0.352750809,0.391585761,0.339805825,0.184466019,0.689320388,1,top5gen/data/flowers.jpeg->orange
top5gen/data/flowers.jpeg,0.01,cucumber,0.018575851,0,0.07120743,0.095975232,0.157894737,0.083591331,0.095975232,0.752321981,1,top5gen/data/flowers.jpeg->cucumber
top5gen/data/flute1.jpeg,0.99,flute,0.034482759,0,0.285266458,0.297805643,0.210031348,0.272727273,0.047021944,0.147335423,1,top5gen/data/flute1.jpeg->flute
top5gen/data/flute1.jpeg,0,oboe,0.006369427,0,0.261146497,0.312101911,0.248407643,0.095541401,0.01910828,0.286624204,1,top5gen/data/flute1.jpeg->oboe
top5gen/data/flute1.jpeg,0,bassoon,0.044247788,0,0.233038348,0.221238938,0.209439528,0.091445428,0.020648968,0.339233038,1,top5gen/data/flute1.jpeg->bassoon
top5gen/data/flute1.jpeg,0,drumstick,0,0.00974026,0.194805195,0.38961039,0.415584416,0.233766234,0.025974026,0.376623377,1,top5gen/data/flute1.jpeg->drumstick
top5gen/data/flute1.jpeg,0,rule,0,0.025974026,0.376623377,0.571428571,0.493506494,0.415584416,0.168831169,0.324675325,1,top5gen/data/flute1.jpeg->rule
top5gen/data/flute2.jpeg,1,flute,0.16576087,0.192934783,0.456521739,0.456521739,0.52173913,0.423913043,0.456521739,0,1,top5gen/data/flute2.jpeg->flute
top5gen/data/flute2.jpeg,0,harmonica,0.071022727,0.0625,0.340909091,0.272727273,0.284090909,0.238636364,0.25,0,1,top5gen/data/flute2.jpeg->harmonica
top5gen/data/flute2.jpeg,0,rifle,0.009375,0.021875,0.1625,0.2,0.325,0.1875,0.2875,0,1,top5gen/data/flute2.jpeg->rifle
top5gen/data/flute2.jpeg,0,oboe,0.06043956,0,0.197802198,0.208791209,0.395604396,0.285714286,0.197802198,0.692307692,1,top5gen/data/flute2.jpeg->oboe
top5gen/data/flute2.jpeg,0,violin,0,0.063291139,0.392405063,0.291139241,0.291139241,0.215189873,0.17721519,0.037974684,1,top5gen/data/flute2.jpeg->violin
top5gen/data/flute3.jpeg,0.82,flute,0,0.026011561,0.202312139,0.190751445,0.248554913,0.167630058,0.144508671,0.213872832,1,top5gen/data/flute3.jpeg->flute
top5gen/data/flute3.jpeg,0.11,oboe,0.088414634,0.06097561,0.170731707,0.073170732,0.231707317,0,0.12195122,0.756097561,1,top5gen/data/flute3.jpeg->oboe
top5gen/data/flute3.jpeg,0.04,harmonica,0,0.00295858,0.195266272,0.147928994,0.24260355,0.207100592,0.076923077,0.668639053,1,top5gen/data/flute3.jpeg->harmonica
top5gen/data/flute3.jpeg,0,ocarina,0,0,0.139240506,0.021097046,0.189873418,0.071729958,0.105485232,0.459915612,1,top5gen/data/flute3.jpeg->ocarina
